month;mode;qso_count;cumulative_qso_count;
1996-03-01;CW;11;11;
1996-03-01;SSB;36;36;
1996-04-01;CW;30;41;
1996-05-01;CW;41;82;
1996-05-01;SSB;3;39;
1996-07-01;SSB;21;60;
1996-08-01;SSB;63;123;
1996-09-01;CW;26;108;
1996-10-01;SSB;5;128;
1996-11-01;SSB;12;140;
1997-03-01;CW;4;112;
1997-03-01;SSB;1;141;
1997-04-01;CW;14;126;
1997-04-01;SSB;12;153;
1997-05-01;CW;70;196;
1997-05-01;SSB;3;156;
1997-07-01;SSB;76;232;
1997-09-01;CW;2;198;
1997-10-01;SSB;34;266;
1997-12-01;SSB;4;270;
1998-03-01;SSB;2;272;
1998-04-01;FM;1;1;
1998-04-01;SSB;12;284;
1998-06-01;SSB;1;285;
1998-07-01;SSB;4;289;
1998-08-01;CW;6;204;
1998-09-01;CW;1;205;
1998-09-01;SSB;1;290;
1999-03-01;SSB;14;304;
2005-02-01;FM;10;11;
2005-02-01;PACKET;4;4;
2005-02-01;SSB;7;311;
2005-03-01;FM;6;17;
2005-03-01;PACKET;1;5;
2005-04-01;PACKET;3;8;
2005-04-01;SSB;5;316;
2005-05-01;SSB;5;321;
2005-06-01;SSB;18;339;
2005-07-01;FM;2;19;
2005-07-01;SSB;44;383;
2008-07-01;SSB;1;384;
2022-05-01;CW;11;216;
2022-05-01;SSB;10;394;
2022-06-01;CW;15;231;
2022-06-01;SSB;29;423;
2022-07-01;CW;11;242;
2022-07-01;SSB;142;565;
2022-08-01;SSB;2;567;
2022-09-01;SSB;6;573;
2022-10-01;SSB;1;574;
2022-11-01;CW;1;243;
2022-11-01;SSB;2;576;
2023-01-01;CW;9;252;
2023-01-01;SSB;61;637;
2023-02-01;SSB;9;646;
2023-03-01;SSB;204;850;
2023-04-01;SSB;50;900;
2023-05-01;SSB;1;901;
2023-06-01;SSB;104;1005;
2023-07-01;SSB;62;1067;
2023-08-01;SSB;1;1068;
2023-10-01;SSB;392;1460;
2024-01-01;SSB;142;1602;
2024-02-01;SSB;143;1745;
2024-03-01;SSB;370;2115;
2024-04-01;SSB;39;2154;
2024-06-01;SSB;127;2281;
2024-07-01;SSB;354;2635;
2024-08-01;SSB;101;2736;
2024-09-01;CW;1;253;
2024-09-01;SSB;58;2794;
2024-10-01;CW;15;268;
2024-10-01;SSB;517;3311;
2024-11-01;CW;72;340;
2024-11-01;SSB;67;3378;
2024-12-01;CW;26;366;
2024-12-01;SSB;56;3434;
2025-01-01;CW;296;662;
2025-01-01;FT4;176;176;
2025-01-01;FT8;344;344;
2025-01-01;PSK;2;2;
2025-01-01;RTTY;2;2;
2025-01-01;SSB;480;3914;
2025-02-01;CW;81;743;
2025-02-01;FM;5;24;
2025-02-01;FT4;188;364;
2025-02-01;FT8;232;576;
2025-02-01;RTTY;3;5;
2025-02-01;SSB;113;4027;
2025-03-01;CW;69;812;
2025-03-01;FT4;284;648;
2025-03-01;FT8;309;885;
2025-03-01;SSB;371;4398;
2025-04-01;CW;162;974;
2025-04-01;FT4;217;865;
2025-04-01;FT8;416;1301;
2025-04-01;SSB;77;4475;
2025-05-01;CW;13;987;
2025-05-01;FT4;22;887;
2025-05-01;FT8;126;1427;
2025-05-01;SSB;8;4483;
